[17/06 08:56:02] OK: captura ja rodando (PID 28816)
[17/06 08:59:12] OK: captura ja rodando (PID 28816)
[17/06 09:04:03] OK: captura ja rodando (PID 28816)
[17/06 09:09:02] OK: captura ja rodando (PID 28816)
[17/06 09:14:02] OK: captura ja rodando (PID 28816)
[17/06 09:19:02] OK: captura ja rodando (PID 28816)
[17/06 09:24:02] OK: captura ja rodando (PID 28816)
[17/06 09:29:02] OK: captura ja rodando (PID 28816)
[17/06 09:34:02] OK: captura ja rodando (PID 28816)
[17/06 09:39:02] OK: captura ja rodando (PID 28816)
[17/06 09:44:02] OK: captura ja rodando (PID 28816)
[17/06 09:49:02] OK: captura ja rodando (PID 28816)
[17/06 09:54:02] OK: captura ja rodando (PID 28816)
[17/06 09:59:02] OK: captura ja rodando (PID 28816)
[17/06 10:04:02] OK: captura ja rodando (PID 28816)
[17/06 10:09:02] OK: captura ja rodando (PID 28816)
[17/06 10:14:04] Captura parada. Reabrindo a versao PowerShell...
[17/06 10:14:04] Captura (PowerShell) reaberta.
[17/06 10:19:02] OK: captura ja rodando.
[17/06 10:24:02] OK: captura ja rodando.
[17/06 10:29:02] OK: captura ja rodando.
[17/06 10:35:10] Captura parada. Reabrindo a versao PowerShell...
[17/06 10:35:10] Captura (PowerShell) reaberta.
[17/06 10:40:02] OK: captura ja rodando.
[17/06 10:45:01] OK: captura ja rodando.
[17/06 10:50:01] OK: captura ja rodando.
[17/06 10:55:01] OK: captura ja rodando.
[17/06 11:00:01] OK: captura ja rodando.
[17/06 11:05:01] OK: captura ja rodando.
[17/06 11:10:01] OK: captura ja rodando.
[17/06 11:15:01] OK: captura ja rodando.
[17/06 11:20:01] OK: captura ja rodando.
[17/06 11:25:01] OK: captura ja rodando.
[17/06 11:30:01] OK: captura ja rodando.
[17/06 11:35:01] OK: captura ja rodando.
[17/06 11:40:01] OK: captura ja rodando.
[17/06 11:45:01] OK: captura ja rodando.
[17/06 11:50:01] OK: captura ja rodando.
[17/06 11:55:01] OK: captura ja rodando.
[17/06 12:00:01] OK: captura ja rodando.
[17/06 12:05:01] OK: captura ja rodando.
[17/06 12:10:01] OK: captura ja rodando.
[17/06 12:15:01] OK: captura ja rodando.
[17/06 12:20:01] OK: captura ja rodando.
[17/06 12:25:01] OK: captura ja rodando.
[17/06 12:30:01] OK: captura ja rodando.
[17/06 12:35:01] OK: captura ja rodando.
[17/06 12:40:01] OK: captura ja rodando.
[17/06 12:45:01] OK: captura ja rodando.
[17/06 12:50:01] OK: captura ja rodando.
[17/06 12:55:01] OK: captura ja rodando.
[17/06 13:00:01] OK: captura ja rodando.
[17/06 13:05:01] OK: captura ja rodando.
[17/06 13:10:01] OK: captura ja rodando.
[17/06 13:15:01] OK: captura ja rodando.
[17/06 13:20:01] OK: captura ja rodando.
[17/06 13:25:01] OK: captura ja rodando.
[17/06 13:30:01] OK: captura ja rodando.
[17/06 13:35:01] OK: captura ja rodando.
[17/06 13:40:01] OK: captura ja rodando.
[17/06 13:45:01] OK: captura ja rodando.
[17/06 13:50:01] OK: captura ja rodando.
[17/06 13:55:01] OK: captura ja rodando.
[17/06 14:00:01] OK: captura ja rodando.
[17/06 14:05:01] OK: captura ja rodando.
[17/06 14:10:01] OK: captura ja rodando.
[17/06 14:15:01] OK: captura ja rodando.
[17/06 14:20:01] OK: captura ja rodando.
[17/06 14:25:01] OK: captura ja rodando.
[17/06 14:30:01] OK: captura ja rodando.
[17/06 14:35:01] OK: captura ja rodando.
[17/06 14:40:01] OK: captura ja rodando.
[17/06 14:45:01] OK: captura ja rodando.
[17/06 14:50:01] OK: captura ja rodando.
[17/06 14:55:01] OK: captura ja rodando.
[17/06 15:00:01] OK: captura ja rodando.
[17/06 15:05:01] OK: captura ja rodando.
[17/06 15:10:01] OK: captura ja rodando.
[17/06 15:15:01] OK: captura ja rodando.
[17/06 15:20:01] OK: captura ja rodando.
[17/06 15:25:01] OK: captura ja rodando.
[17/06 15:30:01] OK: captura ja rodando.
[17/06 15:35:01] OK: captura ja rodando.
[17/06 15:40:01] OK: captura ja rodando.
[17/06 15:45:01] OK: captura ja rodando.
[17/06 15:50:01] OK: captura ja rodando.
[17/06 15:55:01] OK: captura ja rodando.
[17/06 16:00:01] OK: captura ja rodando.
[17/06 16:05:01] OK: captura ja rodando.
[17/06 16:10:01] OK: captura ja rodando.
[17/06 16:15:01] OK: captura ja rodando.
[17/06 16:20:01] OK: captura ja rodando.
[17/06 16:25:01] OK: captura ja rodando.
[17/06 16:30:01] OK: captura ja rodando.
