Empresa;Regiao;DataHora;PressaoBar;Status
ACQUION;POÇOS DE CALDAS;2026-06-24T07:00:00;141,99;OK
ALSCO;BETIM;2026-06-24T07:00:00;;Sem Sinal
AMG SP;BARBACENA;2026-06-24T07:00:00;;conferir
BAIA 1;EXTREMA-MG;2026-06-24T07:00:00;0,00;OK
BAIA 1;LAGARTO-SE;2026-06-24T07:00:00;113,04;OK
BAIA 2;EXTREMA-MG;2026-06-24T07:00:00;71,00;OK
BAIA 2;LAGARTO-SE;2026-06-24T07:00:00;113,30;OK
BAIA 3;EXTREMA-MG;2026-06-24T07:00:00;187,00;OK
BALANÇA;POUSO ALEGRE;2026-06-24T07:00:00;203,48;OK
BARRIGÃO;IPATINGA;2026-06-24T07:00:00;114,25;OK
BELGO;BETIM;2026-06-24T07:00:00;172,63;OK
COLATINA;ESPÍRITO SANTO;2026-06-24T07:00:00;129,86;OK
COMPRESSOR BETIM;BETIM;2026-06-24T07:00:00;239,00;OK
DOW;BARBACENA;2026-06-24T07:00:00;;Aguardando Starlink
EXTRUMINAS;BETIM;2026-06-24T07:00:00;228,63;OK
FERMAG;IPATINGA;2026-06-24T07:00:00;38,00;conferir
FORTLEV;BETIM;2026-06-24T07:00:00;;Sem Sinal
G.PERDÕES;BETIM;2026-06-24T07:00:00;161,95;OK
JD CANADÁ;BETIM;2026-06-24T07:00:00;133,55;OK
M.PEQUI;BETIM;2026-06-24T07:00:00;108,90;OK
MG STEEL;BETIM;2026-06-24T07:00:00;111,14;OK
ORLÂNDIA;SÃO PAULO;2026-06-24T07:00:00;;Sem Sinal
PLANALTO;IPATINGA;2026-06-24T07:00:00;;Sem Energia
POUSO;POUSO ALEGRE;2026-06-24T07:00:00;76,82;OK
SEARA;MATO GROSSO DO SUL;2026-06-24T07:00:00;;Em Implantação
SPINASSÉ;ESPÍRITO SANTO;2026-06-24T07:00:00;146,76;OK
TROPICAL;IPATINGA;2026-06-24T07:00:00;183,14;OK
VDL;BETIM;2026-06-24T07:00:00;105,92;OK
VILMA;BETIM;2026-06-24T07:00:00;150,65;OK
ACQUION;POÇOS DE CALDAS;2026-06-24T07:00:00;141,99;OK
ALSCO;BETIM;2026-06-24T07:00:00;;Sem Sinal
AMG SP;BARBACENA;2026-06-24T07:00:00;;conferir
BAIA 1;EXTREMA-MG;2026-06-24T07:00:00;0,00;OK
BAIA 1;LAGARTO-SE;2026-06-24T07:00:00;113,04;OK
