[17/06 08:56:02] OK: captura ja rodando (PID 28816)
[17/06 08:59:12] OK: captura ja rodando (PID 28816)
[17/06 09:04:03] OK: captura ja rodando (PID 28816)
[17/06 09:09:02] OK: captura ja rodando (PID 28816)
[17/06 09:14:02] OK: captura ja rodando (PID 28816)
[17/06 09:19:02] OK: captura ja rodando (PID 28816)
[17/06 09:24:02] OK: captura ja rodando (PID 28816)
[17/06 09:29:02] OK: captura ja rodando (PID 28816)
[17/06 09:34:02] OK: captura ja rodando (PID 28816)
[17/06 09:39:02] OK: captura ja rodando (PID 28816)
[17/06 09:44:02] OK: captura ja rodando (PID 28816)
[17/06 09:49:02] OK: captura ja rodando (PID 28816)
[17/06 09:54:02] OK: captura ja rodando (PID 28816)
[17/06 09:59:02] OK: captura ja rodando (PID 28816)
[17/06 10:04:02] OK: captura ja rodando (PID 28816)
[17/06 10:09:02] OK: captura ja rodando (PID 28816)
[17/06 10:14:04] Captura parada. Reabrindo a versao PowerShell...
[17/06 10:14:04] Captura (PowerShell) reaberta.
[17/06 10:19:02] OK: captura ja rodando.
[17/06 10:24:02] OK: captura ja rodando.
[17/06 10:29:02] OK: captura ja rodando.
[17/06 10:34:02] OK: captura ja rodando.
[17/06 10:39:02] OK: captura ja rodando.
[17/06 10:44:02] OK: captura ja rodando.
[17/06 10:49:02] OK: captura ja rodando.
[17/06 10:54:02] OK: captura ja rodando.
[17/06 10:59:02] OK: captura ja rodando.
[17/06 11:04:02] OK: captura ja rodando.
[17/06 11:09:02] OK: captura ja rodando.
[17/06 11:14:02] OK: captura ja rodando.
[17/06 11:19:02] OK: captura ja rodando.
[17/06 11:24:02] OK: captura ja rodando.
[17/06 11:29:02] OK: captura ja rodando.
[17/06 11:34:02] OK: captura ja rodando.
[17/06 11:39:02] OK: captura ja rodando.
[17/06 11:44:02] OK: captura ja rodando.
[17/06 11:49:02] OK: captura ja rodando.
[17/06 11:54:02] OK: captura ja rodando.
[17/06 11:59:02] OK: captura ja rodando.
[17/06 12:04:02] OK: captura ja rodando.
[17/06 12:09:02] OK: captura ja rodando.
[17/06 12:14:02] OK: captura ja rodando.
[17/06 12:19:02] OK: captura ja rodando.
[17/06 12:24:02] OK: captura ja rodando.
[17/06 12:29:02] OK: captura ja rodando.
[17/06 12:34:02] OK: captura ja rodando.
[17/06 12:39:02] OK: captura ja rodando.
[17/06 12:44:02] OK: captura ja rodando.
[17/06 12:49:02] OK: captura ja rodando.
[17/06 12:54:02] OK: captura ja rodando.
[17/06 12:59:02] OK: captura ja rodando.
[17/06 13:04:02] OK: captura ja rodando.
[17/06 13:09:02] OK: captura ja rodando.
[17/06 13:14:02] OK: captura ja rodando.
[17/06 13:19:02] OK: captura ja rodando.
[17/06 13:24:02] OK: captura ja rodando.
[17/06 13:29:02] OK: captura ja rodando.
[17/06 13:34:02] OK: captura ja rodando.
[17/06 13:39:02] OK: captura ja rodando.
[17/06 13:44:02] OK: captura ja rodando.
[17/06 13:49:03] OK: captura ja rodando.
[17/06 13:54:02] OK: captura ja rodando.
[17/06 13:59:03] OK: captura ja rodando.
[17/06 14:04:02] OK: captura ja rodando.
[17/06 14:09:02] OK: captura ja rodando.
[17/06 14:14:02] OK: captura ja rodando.
[17/06 14:19:02] OK: captura ja rodando.
[17/06 14:24:02] OK: captura ja rodando.
[17/06 14:29:02] OK: captura ja rodando.
[17/06 14:34:02] OK: captura ja rodando.
[17/06 14:39:02] OK: captura ja rodando.
[17/06 14:44:02] OK: captura ja rodando.
[17/06 14:49:01] OK: captura ja rodando.
[17/06 14:54:01] OK: captura ja rodando.
[17/06 14:59:01] OK: captura ja rodando.
[17/06 15:04:01] OK: captura ja rodando.
[17/06 15:09:01] OK: captura ja rodando.
[17/06 15:14:01] OK: captura ja rodando.
[17/06 15:19:02] OK: captura ja rodando.
[17/06 15:24:02] OK: captura ja rodando.
[17/06 15:29:04] OK: captura ja rodando.
[17/06 15:34:02] OK: captura ja rodando.
[17/06 15:39:01] OK: captura ja rodando.
[17/06 15:44:01] OK: captura ja rodando.
[17/06 15:49:02] OK: captura ja rodando.
[17/06 15:54:01] OK: captura ja rodando.
[17/06 15:59:01] OK: captura ja rodando.
[17/06 16:04:01] OK: captura ja rodando.
[17/06 16:09:01] OK: captura ja rodando.
[17/06 16:14:01] OK: captura ja rodando.
[17/06 16:19:01] OK: captura ja rodando.
[17/06 16:24:02] OK: captura ja rodando.
[17/06 16:29:01] OK: captura ja rodando.
[17/06 16:34:01] OK: captura ja rodando.
